NC,sentence_nat_1,tag_sentence_nat_1,sentence_nat_2,tag_sentence_nat_2,sentence_nat_3,tag_sentence_nat_3,comp_score,gold_syn_1,gold_syn_2,gold_syn_3,sentence_neut,tag_sentence_neut,word_1,word_x,word_2,wordsyn
periodo di incubazione,"Dopo un periodo di incubazione che dura alcuni mesi la persona colpita può sviluppare una sintomatologia con febbre, nausea, vomito, astenia, dolore epatico e talvolta, ma non necessariamente, ittero ed elevazione degli enzimi circolanti. ","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",La durata di tempo i bambini restano in questa sezione dipende dal periodo di incubazione della malattia e da quanto tempo è necessario perché i bambini malati non siano più pericolosi per gli altri. ,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","A causa del particolare ciclo vitale del Plasmodio, del suo periodo di incubazione e della persistenza nell'organismo, è indispensabile assumere il farmaco prescritto in modo scrupoloso usando i dosaggi e i tempi stabiliti.","[False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,tempo di latenza,fase di sviluppo silente,attesa sintomatica,Questo è un periodo di incubazione.,"[False, False, False, True, True, True]",tempo,di,gestazione,tempo di gestazione
conto in sospeso,"Quindi , ogni volta che tornavo era una sfida , come se avessi avuto un conto in sospeso e con l ' idea che bisognasse sempre difendersi dai giudizi dei vicini .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","E ora ho dentro un senso di incompiuto , come se avessi un conto in sospeso con lui .","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False]","Nessuno può fermare i Pirati , Niko , nessuno ... E poi abbiamo un conto in sospeso con il Vandalo. Niko si alza e si mette in posizione da inno nazionale italiano .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,questione aperta,debito da regolare,pendenza,Questo è un conto in sospeso.,"[False, False, False, True, True, True]",conteggio,in ,bilico,conteggio in bilico
occhio di triglia,"Prese a leggere : È passato poco tempo da quando `` l ' occhio di triglia ' ' è venuto a farmi visita , apre lo spioncino della porta e mi guarda , sembra godere della mia vista , rimane un paio di minuti ad osservarmi e va via .","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Se ci pungeva la voglia , ci caricavamo qualche gianni , qualche immigrato del Kansas , o qualche impiegato delle ferrovie , gli facevamo l ' occhio di triglia , e salivamo sulla loro carrozza per una passeggiata , oppure andavamo con loro in qualche casa da gioco .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","SEBASTIANO Somma è la versione bionda di Massimo Giletti , dall ' altro giorno ammicca , sorride accattivante , fa l ' occhio di triglia e dice che bel nome a coloro che telefonano per partecipare a Test , il nuovo programma di Raiuno in onda alle 14 .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,sguardo languido,occhiata amorosa,sguardo sognante,Questo è un occhio di triglia.,"[False, False, False, True, True, True]",vista,di,pesce,vista di pesce
legge di bilancio,"Il consiglio dei ministri è convocato dunque per approvare il Dpb , Documento programmatico di bilancio , la "" copertina "" della legge di bilancio , che entro mezzanotte deve essere inviata a Bruxelles .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False]",Questa la cifra inserita nella legge di bilancio in favore delle imprese colpite.,"[False, False, False, False, False, True, True, True, False, False, False, False, False]","È il commento positivo di Coldiretti Campania alla novità contenuta nella legge di Bilancio , che battezza l'ingresso del turismo olivicolo tra le attività agricole connesse, assimilandolo direttamente all'enoturismo.","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,manovra economica,manovra finanziaria,legge di stabilità,Questa è una legge di bilancio.,"[False, False, False, True, True, True]",regola,di,prospetto,regola di prospetto
pesce in barile,"Maria Cecilia Angioletti , Roma Al direttore - Il petrolio sta raggiungendo cifre da capogiro , ma nonostante questo il nostro ministro dell ' Economia fa il pesce in barile .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Sia chi si è esposta persino più di quanto facesse in video , sia chi è rimasta a fare il pesce in barile .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","A maggior ragione l'attuale governo Conte non può comportarsi come un pesce in barile , di fronte all'arroganza dei falchi di Confindustria.","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False]",,persona indifferente,colui che fa finta di niente,opportunista,Questo è un pesce in barile.,"[False, False, False, True, True, True]",animale acquatico,in,botte,animale acquatico in botte
cintura di sicurezza,"Purtroppo i dati finora raccolti ci dicono che l'uso delle cinture di sicurezza è ancora basso, perché viene rispettato solo da pochi automobilisti, con punte decisamente basse nel Sud. ","[False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Infatti, il bambino è protetto da un corrimano removibile che non deve essere rimosso per chiudere il passeggino e da cintura di sicurezza a cinque punti.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False]",Non è però assolutamente un dispositivo che sostituisce le cinture di sicurezza .,"[False, False, False, False, False, False, False, False, False, True, False, True, False]",,dispositivo di ritenuta,sistema di protezione,cinghia di sicurezza,Questa è una cintura di sicurezza.,"[False, False, False, True, True, True]",cinghia,di,certezza,cinghia di certezza
casa di riposo,"Il supplemento d ' indagine si sarebbe reso necessario dopo una svolta negli accertamenti effettuati dagli uomini del Nas e dall ' ispettorato del lavoro presso una casa di riposo di Sezze , la Villa Rosa , anch ' essa utilizzata per l ' accoglienza degli stranieri .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","A Roma le suore gestiscono una casa di riposo , una scuola ed un pensionato per studentesse.","[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False]",La Casa di Riposo Villa Santa Rita si pone come punto di riferimento per le famiglie che hanno la necessità di trovare una nuova abitazione per i propri cari quando le necessità lo impongono.,"[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,residenza per anziani,ospizio,RSA,Questa è una casa di riposo.,"[False, False, False, True, True, True]",abitazione,di,rilassamento,abitazione di rilassamento
certificato di morte,"Eccolo il certificato di morte di colei che ha dato il volto a Leonardo da Vinci, per trasformare un ritratto in un mito e in un mistero senza fine.","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",L'unico certificato di morte trovato in casa mia è quello di mia suocera.,"[False, True, True, True, False, False, False, False, False, False, False, False, False]","Secondo il certificato di morte compilato in lager risulta deceduto in quel sottocampo il 19 marzo 1945, alle ore 12,35, per polmonite.","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,atto di decesso,denuncia di morte,constatazione di decesso,Questo è un certificato di morte.,"[False, False, False, True, True, True]",documento,di,decesso,documento di decesso
chiave inglese,"Un bro è sempre disponibile quando si tratta di aiutare gli amici, che si tratti di dare loro una mano, un consiglio o la chiave inglese giusta.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",Gancio fisso: Si definisce fisso ma può essere smontato tramite chiave inglese . ,"[False, False, False, False, False, False, False, False, False, False, True, True, False]","La Polizia di Stato è stata chiamata da due ternani che hanno dichiarato di essere stati inseguiti, mentre erano a bordo del loro pick-up, da un uomo che, dopo averli tamponati, ha infranto il finestrino del loro veicolo con una chiave inglese .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,chiave regolabile,chiave a rullino,attrezzo meccanico,Questa è una chiave inglese.,"[False, False, False, True, True]",strumento,,britannico,strumento britannico
oppio dei popoli,"Del resto , molti dei nemici da abbattere non sono più quelli stessi indicati nel Manifesto per eccellenza , a cominciare dalla religione "" oppio dei popoli "" , sostituita oggi da altri miti dell ' era dei consumi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Quando agiscono in questo modo , un modo che non ha alcun punto di contatto con l ' autentica spiritualità , allora le religioni sono veramente , come diceva Karl Marx , una sorta di oppio dei popoli ... "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False]","E ' fantastico , praticamente ogni giorno la corte europea ci ammonisce o multa per qualcosa .... meraviglioso .... .. La religione è l ' oppio dei popoli , la cocaina è lo spasso dei politici .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]",,illusione collettiva,conforto illusorio,strumento di distrazione,Questo è un oppio dei popoli.,"[False, False, False, True, True, True]",droga,della,gente,droga della gente
parole sante,"Parole sante , facili a dirsi , ma il diavolo è sempre in agguato e le buone opere non annullano certe esigenze .","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Laura non lo sopportava , lo ripeteva in continuazione . Diceva che non era un tipo inaffidabile , e che avrei fatto meglio a lasciar perdere . Parole sante .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Perché quelle di Letta sono state parole sante : sarà anche vero che nessuno è profeta in patria, ma con Zeffirelli si è esagerato, negandogli quel riconoscimento del Paese che i suoi meriti artistici oggettivamente avrebbero richiesto.","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,verità assoluta,affermazione giusta,parole corrette,Queste sono parole sante.,"[False, False, True, True]",vocabolo,,divino,vocabolo divino
cane sciolto,"Vito è un cane sciolto , non sta nel gruppone di via dell ' Umiltà , dove comanda Scajola , ma finora neanche tra fedelissimi di via del Plebiscito , la presidenza di Forza Italia .","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Petruccioli si dipinge come un personaggio scomodo , un cane sciolto , un irregolare ( "" Tengo alla mia autonomia , non prendo ordini da nessuno né concepisco che si possa usare il servizio pubblico radiotelevisivo come la carta igienica "" ) .","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Brooks è sempre stato un cane sciolto , dedito soprattutto a ribaltare idee ormai consolidate e iniettare vitalità nel settore con le sue continue innovazioni .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,indipendente,solitario,ribelle,Questo è un cane sciolto.,"[False, False, False, True, True]",bestiola,,libera,bestiola libera
promesse da marinaio,"Zacchetti non vuole fare "" promesse da marinaio "" e per un restauro non chiede mai meno di un mese .","[False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",In Italia la diffidenza per le promesse da marinaio è fortissima e gli ultimi sondaggi dicono che questo eccesso di promesse sta erodendo i consensi di Berlusconi tra i ceti popolari .,"[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma erano state promesse da marinaio , e fatte a un vecchio che si rincoglioniva un giorno dopo l ' altro .","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,vane promesse,false aspettative,impegni non mantenuti,Queste sono promesse da marinaio.,"[False, False, True, True, True]",giuramenti,da,navigatore,giuramenti da navigatore
reazione a catena,"Qualora si liberi più di un neutrone, sarà evidentemente possibile una reazione a catena .","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Ma contemporaneamente, nei sotterranei dell'Università di Chicago, Enrico Fermi otteneva la prima reazione a catena controllata nel primo reattore nucleare del mondo: era cominciata l'era atomica.","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]"," L'esplosione rivoluzionaria che sconvolse l'Europa nel 1848 fu di dimensioni e di intensità straordinarie; causò una reazione a catena caratterizzata dalla dirompente simultaneità, in paesi tra loro molto diversi, del meccanismo insurrezionale.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",,conseguenze correlate,sequenza inarrestabile,serie di eventi,Questa è una reazione a catena.,"[False, False, False, True, True, True]",risposta,a,anelli,risposta a anelli
